Region,Instance Type,Database Engine,Model
ap-northeast-1,db.r6i.2xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6i.4xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r6i.4xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6i.4xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r6i.4xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6i.8xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r6i.8xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6i.8xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r6i.8xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6i.12xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r6i.12xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6i.12xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r6i.12xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6i.16xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r6i.16xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6i.16xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r6i.16xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6i.24xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r6i.24xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6i.24xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r6i.24xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6i.32xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r6i.32xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6i.32xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r6i.32xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6g.large,Aurora MySQL,Standard
ap-northeast-1,db.r6g.large,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6g.large,Aurora PostgreSQL,Standard
ap-northeast-1,db.r6g.large,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6g.xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r6g.xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6g.xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r6g.xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6g.2xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r6g.2xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6g.2xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r6g.2xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6g.4xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r6g.4xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6g.4xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r6g.4xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6g.8xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r6g.8xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6g.8xlarge,Aurora PostgreSQL,Standard
